topic,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10
Crime & Legal Cases,case,georgia,prosecutor,interference,charges,court,judge,allies,criminal,drops
Domestic U.S. Politics & Policy,case,interference,house,georgia,patel,court,supreme,subsidies,white,copyright
"Economy, Markets & Business",prices,price,costs,thanksgiving,lower,medicare,farmers,drugs,bigger,increases
International Politics & Diplomacy,ukraine,russia,peace,war,putin,end,deal,barring,witkoff,washington
Society & Culture,ugly,reporter,piggy,journalist,white,house,calls,turkeys,fatigue,kelly
